date;BAMLCC0A0CMTRIV;BAMLHYH0A0HYM2TRIV;BOGMBBM;CNP16OV;CPIAUCNS;DCOILWTICO;DRBLACBS;DRCLACBS;DRSREACBS;EXPINF10YR;EXPINF1YR;FEDFUNDS;GDP;GDPC1;GFDEBTN;H8B1001NCBCMG;H8B1023NCBCMG;H8B1027NCBCMG;H8B1058NCBCMG;ICSA;LNS15000000;LNU00000012;LNU00000036;LNU00000060;LNU00024230;M1SL;M1V;M2SL;M2V;MBCURRCIR;MICH;MORTGAGE30US;MPRIME;MVLOAS;PAYEMS;REAINTRATREARAT10Y;REAINTRATREARAT1YE;REVOLSL;TB1YR;TB3MS;TERMCBAUTO48NS;TERMCBPER24NS;UMCSENT;VIXCLS;WILL5000INDFC
1990-01-01;-0.014420286619938438;-0.026992696093998014;-0.034574468085106336;0.006667913338498144;0.01030927835051565;0.038919413919414;0.051699999999999996;0.0361;0.0562;0.03790805;0.041516909000000005;0.0823;0.021830316028380148;0.010927954159291042;0.03351310568189447;0.08199999999999999;-0.027999999999999997;0.21899999999999997;0.077;0.0163288288288288;-0.0014042254420119082;0.04969076562166763;0.05622759856630832;0.004699464012251076;-0.01863598754974194;0.0031529827216547623;0.010023342029383375;0.004536082474226877;1.848;0.0;0.040999999999999995;0.09895;0.1011;-0.011630025611495842;0.0033352934690726865;0.041276234;0.038222423;0.011445400491019608;0.0738;0.0764;0.11939999999999999;0.1542;0.027624309392265234;23.34727272727272;-0.07352941176470595
1990-02-01;0.004212719695597;-0.015094647519582338;-0.09090909090909094;0.00054667140802378;0.0047095761381474865;-0.050242397531952476;0.051699999999999996;0.0361;0.0562;0.039721427000000004;0.044318376;0.0824;0.021830316028380148;0.010927954159291042;0.03351310568189447;0.09;0.013000000000000001;0.156;0.013000000000000001;-0.0076177285318559385;0.0036113774368808915;-0.0009481240688067327;-0.0022269353128313574;0.0015813891455735973;-0.00012044323109039468;0.0033945184812673723;0.010023342029383375;0.003915624605279611;1.848;-0.008177570093457986;0.040999999999999995;0.10197500000000001;0.1;-0.011630025611495842;0.00216119195230724;0.0436692739;0.033671184;0.013373106647100563;0.0755;0.0774;0.11800000000000001;0.1527;-0.037634408602150504;23.262631578947367;0.01587301587301604
1990-03-01;0.003315440479949583;0.018805401375196817;0.07878787878787885;0.0006047232065182762;0.005468749999999911;-0.05614849187935034;0.051699999999999996;0.0361;0.0562;0.039572842999999996;0.039925156999999996;0.0828;0.021830316028380148;0.010927954159291042;0.03351310568189447;0.047;0.033;0.193;0.031;-0.036427076064200925;0.00036620705028189704;-0.006236442516268981;0.005367201615474437;0.0011128337312269476;-0.000260991768721186;0.004260117779726791;0.010023342029383375;0.003428535480624051;1.848;0.008244994110718551;0.037000000000000005;0.10268;0.1;-0.011630025611495842;0.0019098094759446571;0.0455196762;0.044317957000000005;0.005010517791841584;0.0776;0.079;0.11800000000000001;0.1527;0.020111731843575287;20.062272727272724;0.02524038461538458
1990-04-01;-0.01128470270877835;0.006261180679785205;0.05337078651685401;0.0007846047818480528;0.0015540015540016494;-0.09046214355948867;0.0535;0.0346;0.054400000000000004;0.039574181;0.041347921999999995;0.08259999999999999;0.014869989124254746;0.003629117904577539;0.030077740257238084;0.059000000000000004;0.048;0.19;0.052000000000000005;0.047943221320973395;0.004774865110060533;-0.0019781718963165495;-0.00021142766531001556;0.001140099188629451;0.0012249733919713623;0.0057392389270118915;0.004758020663404139;0.0036049026676279183;1.859;0.012071651090342694;0.036000000000000004;0.10369999999999999;0.1;0.0074260352971458055;0.0003830578964649778;0.0455216196;0.045271299;0.010020020739064606;0.078;0.07769999999999999;0.11800000000000001;0.1527;0.028477546549835697;21.4035;-0.029308323563892125
1990-05-01;0.027647045449378238;0.016646464646464576;-0.06933333333333336;0.0007151257032069758;0.002327385570209284;-0.05567567567567577;0.0535;0.0346;0.054400000000000004;0.041366521;0.042465016999999994;0.0818;0.014869989124254746;0.003629117904577539;0.030077740257238084;0.047;-0.022000000000000002;0.205;0.023;-0.017968210089841063;-0.00172662326347639;-0.0031440092953318732;-0.0012159661644197683;0.0019074914115435604;4.0113923542861585e-05;-0.0023570276640615395;0.004758020663404139;-0.0003123438280859814;1.859;0.009619084263178035;0.034;0.104775;0.1;0.0074260352971458055;0.0013948908703025342;0.0480506176;0.04306266;0.015955663025672084;0.07730000000000001;0.0774;0.1182;0.15410000000000001;-0.03514376996805124;18.097727272727273;0.09178743961352653
1990-06-01;0.016792406911657176;0.025117240282966247;0.025787965616045794;0.0007675490834404552;0.005417956656346812;-0.024041213508872228;0.0535;0.0346;0.054400000000000004;0.039542983000000004;0.041908762;0.08289999999999999;0.014869989124254746;0.003629117904577539;0.030077740257238084;0.073;0.023;0.22;0.068;0.020126671358198456;0.0073786099650905435;-0.0017140898183064524;0.0018526360364174987;0.00040729339332234993;0.0018451664661049971;0.005719970156677245;0.004758020663404139;0.0040929825657689545;1.859;0.013719512195121908;0.038;0.10164;0.1;0.0074260352971458055;0.00015477198444990847;0.0438261115;0.03723638;0.010698095484341419;0.0753;0.07730000000000001;0.1182;0.15410000000000001;-0.025386313465783683;16.822380952380954;-0.004424778761061843
1990-07-01;0.013055398407241459;0.02512212142358705;-0.025139664804469275;0.0006876196722698236;0.0038491147036181506;0.20645161290322567;0.0546;0.0381;0.059800000000000006;0.038638041;0.040715513999999994;0.0815;0.009242909597068971;0.0006651243216417857;0.028487916039232175;0.027000000000000003;-0.027999999999999997;0.23399999999999999;0.066;0.012693156732891842;-0.0004568008190911632;-0.0024038461538461453;-0.0009510223490252212;0.0013065954666817703;0.0009008648302371025;0.0016073194856578432;-0.0018941956433500273;0.0033606123782556896;1.856;0.010902255639097636;0.034;0.10035;0.1;0.0021440630858626797;-0.00029129041654529786;0.043418185;0.042893189;0.017377276617596138;0.07400000000000001;0.0762;0.1182;0.15410000000000001;-0.0011325028312569874;18.392857142857146;-0.010000000000000009
1990-08-01;-0.017784269083723436;-0.04568489524241737;-0.011461318051575908;0.0008140051166036777;0.009202453987730008;0.33446767136606703;0.0546;0.0381;0.059800000000000006;0.038256958;0.041266926;0.08130000000000001;0.009242909597068971;0.0006651243216417857;0.028487916039232175;0.055999999999999994;0.006999999999999999;0.23;0.026000000000000002;0.04700272479564038;-0.0016389309127584628;-0.007641996557659181;0.0012692368713311808;0.002118083134763138;0.00036002160129600114;0.006912726823848914;-0.0018941956433500273;0.005427198015196089;1.856;0.0063220528077352345;0.046;0.10100000000000002;0.1;0.0021440630858626797;-0.0018939393939394478;0.0417053207;0.039024277;0.012320641487866046;0.0726;0.0745;0.1189;0.15460000000000002;-0.13378684807256236;28.17521739130435;-0.09427609427609429
1990-09-01;0.004242291712224011;-0.041134976618847574;0.023188405797101463;0.0009823493994993715;0.008358662613981771;0.440072859744991;0.0546;0.0381;0.059800000000000006;0.040734267;0.047322385;0.08199999999999999;0.009242909597068971;0.0006651243216417857;0.028487916039232175;0.03;-0.018000000000000002;0.17300000000000001;0.006999999999999999;0.025374105400130187;0.004482889253693667;-0.0011794089080060521;-0.0003697248190989155;0.001528590300056587;0.0009797060881735487;0.0055167340934167974;-0.0018941956433500273;0.0038864898210979604;1.856;0.0077605321507761005;0.047;0.10175000000000001;0.1;0.0021440630858626797;-0.0008940300686031133;0.043987447;0.028532794;0.009939637693640258;0.0724;0.0736;0.1189;0.15460000000000002;-0.047120418848167644;29.107368421052637;-0.054522924411400275
1990-10-01;0.008230990331852484;-0.029343693172425134;-0.031161473087818692;0.0009602802752100015;0.006028636021100375;-0.10675436377434855;0.06269999999999999;0.0416;0.0709;0.039925768;0.050042957;0.08109999999999999;-0.0017261512496183906;-0.009103945411629843;0.04067252381690234;0.037000000000000005;-0.037000000000000005;0.27399999999999997;-0.016;0.07931472081218272;0.001241435665346735;-0.0034729457525873864;-0.00031702419951384897;0.0017900548322058452;0.0009587727708533222;-0.00036576444769576;-0.010031177985631023;0.001444109875253563;1.839;0.006967363403006965;0.048;0.101775;0.1;-0.021935657242866613;-0.001378768786866047;0.0420053902;0.025751771;0.006158738162691746;0.0706;0.0717;0.1189;0.15460000000000002;-0.12225274725274726;29.62565217391304;-0.013106159895150626
